restaurant_name,rating,num_ratings
Basil Thai Cuisine Ballantyne,3.5,192
Chick-fil-A,3.4,84
Chipotle Mexican Grill,1.9,100
Clean Juice,3.7,81
Crumbl - Charlotte,4.1,97
Firebirds Wood Fired Grill,4,607
The Flying Biscuit Cafe,3.6,387
Gong Cha,4.1,39
Ilios Crafted Greek - Stonecrest,4.6,44
Jersey Mike's Subs,3.2,56
Marble Slab Creamery,3.5,73
Nothing But Noodles,3.8,181
Smashburger,3.2,251
Starbucks,3.2,45
Super Chix,4.4,30
Tap & Vine Stonecrest,3.9,237
The Office Craft Bar & Kitchen,3.9,29
Wendy's,2,46
